gcf	phylum
GCF000686725	Firmicutes
GCF000300455	Proteobacteria
GCF000695255	Proteobacteria
GCF001655675	Proteobacteria
GCF000499525	Firmicutes
GCF001613505	Actinobacteria
GCF900110555	Actinobacteria
GCF000816185	Proteobacteria
GCF000414175	Proteobacteria
GCF000302595	Bacteroidetes
GCF002197985	not_annotated
GCF000371425	Firmicutes
GCF000307855	Firmicutes
GCF000635915	Proteobacteria
GCF000720035	Actinobacteria
GCF001275345	Actinobacteria
GCF000732625	Bacteroidetes
GCF001049355	Actinobacteria
GCF001543175	Firmicutes
GCF000215085	Firmicutes
GCF900113485	Proteobacteria
GCF900104965	Actinobacteria
GCF900106935	Proteobacteria
GCF000317575	not_annotated
GCF900167205	Firmicutes
GCF000740785	Proteobacteria
GCF001597725	Proteobacteria
GCF900116115	Bacteroidetes
GCF000498295	Firmicutes
GCF002029255	Firmicutes
GCF000767255	not_annotated
GCF000313615	Proteobacteria
GCF000622345	Proteobacteria
GCF001953195	Proteobacteria
GCF002091635	Proteobacteria
GCF000577895	Firmicutes
GCF900110165	Firmicutes
GCF900129825	Proteobacteria
GCF001646865	not_annotated
GCF000300515	Proteobacteria
GCF000626675	Actinobacteria
GCF000355675	Proteobacteria
GCF000429845	Proteobacteria
GCF001056295	Actinobacteria
GCF000716755	Actinobacteria
GCF000307375	Bacteroidetes
GCF000020065	Tenericutes
GCF000963705	not_annotated
GCF001647275	Bacteroidetes
GCF000766865	Firmicutes
GCF900188165	not_annotated
GCF001467895	Proteobacteria
GCF000164675	Firmicutes
GCF001704635	Actinobacteria
GCF000321185	Firmicutes
GCF000307165	Firmicutes
GCF900103775	Actinobacteria
GCF000198775	Proteobacteria
GCF900078515	not_annotated
GCF001431505	Proteobacteria
GCF000196295	Proteobacteria
GCF000286395	Firmicutes
GCF900129945	Firmicutes
GCF001693815	Actinobacteria
GCF900106055	Actinobacteria
GCF000160835	Firmicutes
GCF001640115	Bacteroidetes
GCF000152825	Proteobacteria
GCF000384415	Proteobacteria
GCF000010145	Firmicutes
GCF002237615	not_annotated
GCF000024125	Bacteroidetes
GCF900114305	Proteobacteria
GCF001637565	Actinobacteria
GCF000765905	Proteobacteria
GCF000297055	Proteobacteria
GCF001558695	Proteobacteria
GCF900142385	Proteobacteria
GCF001550095	Proteobacteria
GCF001182745	Actinobacteria
GCF000442315	Proteobacteria
GCF000304215	Actinobacteria
GCF001559015	Proteobacteria
GCF000300135	Firmicutes
GCF001282685	Firmicutes
GCF900109685	Bacteroidetes
GCF001854475	Proteobacteria
GCF900112595	Bacteroidetes
GCF900177335	Actinobacteria
GCF000181475	Planctomycetes
GCF001046955	Proteobacteria
GCF000225465	Proteobacteria
GCF001886615	not_annotated
GCF000168715	not_annotated
GCF000764185	Proteobacteria
